start_date,personal_info,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type,smell
2020-05-08,"Michael Ray, 2004-12-27, M",2020-10-08,26795.0,,65500214,64.11,Science,Mkt&HR,71.41,76.17,True,1,95.13,61.26,False,Comm&Mgmt,True
,Dustin Wells,2020-12-09,27022.0,,727423480,59.37,Science,Mkt&Fin,48.81,62.41,True,1,55.25,60.33,True,Comm&Mgmt,False
2020-05-05,John Estrada,2020-06-17,25997.0,3.0,815446824,65.99,Science,Mkt&HR,65.87,64.86,True,1,87.26,58.35,False,Comm&Mgmt,False
,Jocelyn Bryant,2020-08-25,27227.0,3.0,828101435,51.32,Science,Mkt&Fin,57.79,62.27,True,1,59.68,57.38,True,Comm&Mgmt,False
2020-01-03,"James Martinez, 2004-05-11, M",2020-09-22,22962.0,,201887008,49.78,Commerce,Mkt&HR,48.05,60.25,False,1,63.97,59.26,False,Comm&Mgmt,True
,Trevor Flowers,2020-10-06,24521.0,,602096813,55.16,Science,Mkt&HR,53.26,62.83,False,1,61.24,58.6,False,Comm&Mgmt,False
2020-01-01,"Jamie Sloan, 2001-05-12, F",,22239.0,6.0,314752377,59.01,Science,Mkt&HR,48.84,69.36,True,1,90.61,56.37,False,Sci&Tech,True
,"David Lewis, 2002-11-24, M",,20913.0,3.0,399037277,68.15,Commerce,Mkt&Fin,65.43,55.78,False,1,88.77,57.99,True,Comm&Mgmt,True
,John Johnston,,25170.0,,681677757,65.55,Science,Mkt&Fin,59.43,54.51,False,1,68.49,53.19,False,Others,False
,"Andrea Underwood, 2005-12-11, F",2020-11-21,21649.0,3.0,105312809,65.09,Science,Mkt&Fin,64.32,77.58,True,1,69.04,57.68,True,Sci&Tech,True
2020-01-18,"Mary Lewis, 2004-06-22, F",,30319.0,,725645028,67.33,Arts,Mkt&HR,58.49,66.16,True,1,89.96,60.52,False,Sci&Tech,True
2020-02-14,Lisa Thompson,2020-08-01,,3.0,502428137,83.76,Science,Mkt&HR,80.57,74.88,True,1,64.0,74.34,True,Comm&Mgmt,False
2020-02-17,Douglas Moore,2020-11-20,40272.0,3.0,356955501,73.25,Science,Mkt&Fin,76.72,67.11,True,1,94.19,65.01,True,Others,False
2020-01-01,Janet Shepherd,,25189.0,3.0,780071851,62.01,Commerce,Mkt&Fin,65.28,56.66,True,1,89.55,65.49,False,Comm&Mgmt,False
2020-04-30,"Larry Fitzgerald, 1998-10-01, M",2020-11-06,41995.0,3.0,728019942,75.11,Commerce,Mkt&Fin,79.7,64.34,True,1,50.41,66.26,False,Comm&Mgmt,True
2020-07-27,"Chris Miller, 1999-06-22, M",2020-10-20,,3.0,453961095,56.96,Arts,Mkt&HR,63.96,55.85,False,1,96.38,54.87,False,Comm&Mgmt,True
2020-01-01,"Caleb Henderson, 2002-05-30, M",2020-06-20,40299.0,6.0,542771762,69.57,Commerce,Mkt&Fin,69.46,62.49,True,1,88.71,64.55,True,Comm&Mgmt,True
2020-01-29,William Adams,2020-05-26,,3.0,325067666,70.59,Commerce,Mkt&Fin,63.85,65.06,True,1,84.68,58.1,False,Comm&Mgmt,False
2020-02-26,"Jason Townsend, 2005-10-22, M",2020-12-20,,,118802060,63.42,Science,Mkt&HR,62.76,64.42,True,1,66.68,66.05,True,Comm&Mgmt,True
2020-07-27,Howard Clark,2020-11-12,28021.0,,576125181,75.48,Commerce,Mkt&Fin,75.84,71.03,False,1,88.63,61.19,True,Sci&Tech,False
2020-01-01,"Jessica Cruz, 2000-03-06, F",,,6.0,571329569,51.44,Arts,Mkt&HR,55.63,66.96,True,1,85.81,56.59,False,Comm&Mgmt,True
,Drew Bates,2021-01-08,,12.0,601340362,66.94,Commerce,Mkt&HR,54.43,55.76,True,1,55.93,51.99,False,Comm&Mgmt,False
2020-01-10,"Samantha White, 2004-08-21, F",2020-10-17,30113.0,6.0,660649057,61.75,Science,Mkt&HR,55.19,54.23,True,1,86.9,56.85,False,Comm&Mgmt,True
,Melissa Miller,2020-06-19,26017.0,,446668207,72.84,Science,Mkt&HR,69.97,72.99,False,1,82.1,69.67,True,Comm&Mgmt,False
2020-07-24,Casey Valdez,2020-12-20,,,899070717,66.63,Commerce,Mkt&Fin,60.0,75.41,True,1,91.15,65.18,True,Comm&Mgmt,False
,"Edgar Lucas, 2002-10-08, M",,,3.0,584890261,68.24,Commerce,Mkt&HR,79.62,67.31,True,1,54.67,69.86,True,Comm&Mgmt,True
,Troy Duke,2020-06-04,24502.0,6.0,763754036,62.55,Commerce,Mkt&Fin,50.12,55.33,True,1,63.79,52.93,True,Sci&Tech,False
,Jason Flores,,26878.0,3.0,758628780,70.96,Science,Mkt&HR,83.61,66.44,False,1,66.24,66.67,False,Sci&Tech,False
2020-05-17,"Patricia Hogan, 2004-05-25, F",,20728.0,,8294293,62.98,Commerce,Mkt&HR,54.43,67.19,False,1,61.15,55.63,False,Comm&Mgmt,True
2020-01-01,Greg Gregory,,35478.0,12.0,268689973,61.69,Science,Mkt&Fin,53.24,64.77,False,1,73.93,60.95,False,Comm&Mgmt,False
2020-02-19,Mario Duffy,2020-04-03,,3.0,952517035,60.25,Science,Mkt&Fin,69.3,60.81,False,1,56.07,66.36,False,Comm&Mgmt,False
2020-02-20,"Margaret Carter, 2000-07-03, F",2020-07-05,29213.0,3.0,881017641,62.91,Science,Mkt&HR,57.22,60.06,False,1,65.39,60.78,True,Comm&Mgmt,True
2020-01-01,Jose Nunez,2020-04-07,33401.0,3.0,263498296,57.34,Commerce,Mkt&Fin,54.85,56.69,False,1,74.79,53.63,True,Comm&Mgmt,False
2020-07-27,Stephen Brewer,,,3.0,380522642,76.11,Arts,Mkt&HR,46.77,55.19,False,1,62.75,65.73,True,Sci&Tech,False
2020-02-14,"James Johnston, 2003-09-11, M",2020-09-07,,6.0,984272975,65.58,Science,Mkt&Fin,68.87,58.06,True,1,62.34,64.54,False,Comm&Mgmt,True
2020-01-03,Omar Wilkerson,,23278.0,3.0,25375205,67.47,Science,Mkt&HR,62.55,69.82,True,1,97.23,54.52,False,Comm&Mgmt,False
2020-05-07,Patrick Hernandez,,27064.0,12.0,699759566,60.08,Science,Mkt&HR,66.87,64.2,True,1,94.57,68.45,False,Sci&Tech,False
,"Kristen Ford, 2005-06-30, F",,26329.0,6.0,478700432,69.35,Commerce,Mkt&Fin,72.6,59.76,True,1,67.95,55.57,True,Others,True
2020-01-01,Heather Flowers,2020-05-04,,3.0,287587670,72.97,Science,Mkt&Fin,67.7,70.82,True,1,96.21,58.93,True,Sci&Tech,False
,"Mark Brown, 2004-05-05, M",2020-12-14,,12.0,221497704,79.0,Commerce,Mkt&Fin,63.86,71.22,False,1,68.39,67.55,False,Sci&Tech,True
,"Luis Oliver, 2003-02-06, M",,25498.0,,291198667,55.5,Arts,Mkt&HR,61.63,66.23,True,1,54.13,55.05,False,Comm&Mgmt,True
,"Erin Bass, 1999-10-02, F",2020-11-28,34858.0,,195700675,61.23,Arts,Mkt&Fin,66.83,65.91,True,1,53.97,65.65,True,Comm&Mgmt,True
2020-01-01,Cynthia Brock,2020-04-30,,3.0,886680290,68.39,Commerce,Mkt&HR,79.35,73.47,True,1,66.11,72.12,True,Sci&Tech,False
2020-01-01,Thomas Miller,2020-06-19,24331.0,,607487609,57.2,Commerce,Mkt&HR,47.99,53.17,False,1,50.88,54.79,False,Comm&Mgmt,False
,David Williams,2020-12-13,29899.0,12.0,804761299,67.1,Commerce,Mkt&Fin,59.37,60.68,True,1,53.0,54.39,False,Comm&Mgmt,False
2020-05-25,Oscar Jones,2020-04-03,27209.0,3.0,945285699,73.17,Science,Mkt&Fin,75.28,65.9,True,1,96.99,71.34,True,Comm&Mgmt,False
2020-01-05,"John Weber, 2005-09-26, M",,21422.0,,487040913,54.14,Science,Mkt&HR,64.05,62.5,True,1,58.26,56.66,False,Comm&Mgmt,True
,"Lee Shields, 2002-06-22, M",2020-12-12,,,432711608,77.92,Science,Mkt&Fin,81.04,64.02,True,1,55.72,62.41,True,Comm&Mgmt,True
2020-01-01,"Allison Foster, 2002-12-24, F",2020-12-05,25980.0,12.0,28860983,65.77,Science,Mkt&HR,55.93,65.11,False,1,70.41,63.05,True,Others,True
2020-01-01,"Jamie Hernandez, 2005-07-03, M",2020-05-13,23994.0,6.0,462462709,58.89,Commerce,Mkt&Fin,61.6,62.11,False,1,59.49,67.8,False,Comm&Mgmt,True
,"Deborah Hancock, 1999-09-27, F",,34623.0,,567549092,50.86,Commerce,Mkt&HR,53.64,66.35,True,1,79.82,59.6,True,Comm&Mgmt,True
2020-01-02,Connor Cox,2020-10-15,42939.0,,768706972,72.32,Commerce,Mkt&Fin,65.01,67.81,True,1,80.01,55.02,False,Comm&Mgmt,False
2020-01-01,Michael Brown,,,,141174598,58.85,Commerce,Mkt&HR,45.35,58.46,False,1,55.57,76.55,False,Sci&Tech,False
2020-01-02,Daniel Black,,,3.0,505453147,78.71,Commerce,Mkt&Fin,69.33,69.99,True,1,74.38,63.39,True,Sci&Tech,False
2020-01-01,"Dustin Hall, 2001-11-19, M",2020-09-24,,12.0,652757878,79.74,Commerce,Mkt&Fin,72.59,80.8,True,1,55.07,62.62,False,Sci&Tech,True
2020-01-24,Ethan Dominguez,2020-11-18,23412.0,,917479678,78.14,Commerce,Mkt&Fin,70.46,78.71,True,1,61.16,62.74,True,Comm&Mgmt,False
,"Catherine Watson, 2000-06-20, F",,,3.0,427332493,73.34,Science,Mkt&Fin,70.58,63.92,False,1,94.68,66.02,False,Comm&Mgmt,True
,"Lee Alvarado, 2000-12-04, M",,26262.0,3.0,687656996,78.34,Science,Mkt&Fin,81.97,79.79,True,1,73.29,59.96,True,Comm&Mgmt,True
2020-01-01,"Victoria Jackson, 1999-05-30, F",,29396.0,6.0,970424006,66.3,Science,Mkt&HR,74.78,64.44,True,1,59.45,66.64,False,Comm&Mgmt,True
2020-06-24,Frank Thomas,,25184.0,6.0,228679573,57.75,Commerce,Mkt&HR,43.44,50.92,True,1,53.94,52.41,False,Comm&Mgmt,False
2020-04-20,Andrea Moore,2020-08-18,,,392587292,71.53,Commerce,Mkt&Fin,65.88,63.75,False,1,52.65,73.16,True,Comm&Mgmt,False
2020-01-01,"Gabriel Reyes, 2001-06-12, M",2020-08-08,,6.0,63228788,57.63,Science,Mkt&Fin,72.3,64.07,True,1,77.19,59.7,False,Comm&Mgmt,True
,"Erik Simmons, 2000-04-25, M",2020-06-12,,3.0,124092245,62.05,Commerce,Mkt&HR,58.78,63.94,True,1,71.4,69.58,False,Comm&Mgmt,True
2020-01-13,"Rodney Oneal, 2002-04-13, M",,24941.0,12.0,978373375,45.13,Science,Mkt&HR,75.19,63.72,False,1,82.08,62.9,False,Comm&Mgmt,True
2020-04-14,"Shaun Williams, 2002-04-18, M",2020-09-02,,,636918601,80.75,Commerce,Mkt&HR,82.66,72.11,True,1,73.07,64.13,True,Comm&Mgmt,True
,"Darlene Avila, 2001-10-23, F",2020-10-20,34455.0,,519759099,69.07,Commerce,Mkt&Fin,55.38,60.64,True,1,76.58,73.92,False,Comm&Mgmt,True
2020-03-31,"Eric Cline, 2003-12-07, M",2020-07-04,27372.0,3.0,85263516,58.88,Commerce,Mkt&HR,71.69,64.84,True,1,77.48,68.37,False,Comm&Mgmt,True
2020-05-25,"Lee Banks, 2005-05-26, M",2021-01-22,25577.0,12.0,593863409,63.34,Science,Mkt&Fin,61.47,61.81,True,1,79.59,57.29,False,Comm&Mgmt,True
2020-02-04,"Richard Santos, 2006-01-05, M",,,6.0,46268159,71.22,Science,Mkt&Fin,78.61,69.01,True,1,75.48,61.56,True,Sci&Tech,True
,"George Griffin, 1998-11-09, M",,28686.0,3.0,867599901,69.86,Science,Mkt&Fin,69.0,67.53,True,1,63.4,58.72,False,Comm&Mgmt,True
2020-05-30,Jason Mccarthy,2020-11-27,29206.0,,741321973,65.99,Science,Mkt&HR,81.46,61.21,True,1,86.04,66.43,False,Comm&Mgmt,False
2020-01-31,"Thomas Schmidt, 2000-05-10, M",2020-05-02,33303.0,3.0,86258947,61.55,Commerce,Mkt&HR,50.27,67.35,False,1,64.8,59.06,False,Comm&Mgmt,True
,"Anthony Reilly, 2002-02-21, M",,,,481600909,72.87,Commerce,Mkt&HR,53.74,57.41,True,1,60.34,59.78,True,Comm&Mgmt,True
2020-01-03,"Sydney Dixon, 2005-08-02, F",,,3.0,168592507,86.18,Commerce,Mkt&HR,79.9,69.61,True,1,93.24,58.88,False,Comm&Mgmt,True
2020-01-01,Alexandra Howard,2020-04-14,,,506695860,77.04,Science,Mkt&Fin,69.84,69.12,False,1,68.33,63.56,False,Sci&Tech,False
2020-01-12,"John Simmons, 2001-07-16, M",2020-05-14,,3.0,944302688,60.59,Science,Mkt&Fin,70.17,69.24,True,1,61.1,54.72,True,Comm&Mgmt,True
2020-01-01,"Stephanie Andersen, 2003-12-23, F",2020-06-22,31845.0,,936294482,62.4,Commerce,Mkt&Fin,58.58,68.42,False,1,71.17,72.19,False,Comm&Mgmt,True
2020-01-01,"Christopher Jones, 2000-08-16, M",2020-11-24,33252.0,12.0,389187942,76.98,Science,Mkt&Fin,63.3,70.07,True,1,64.78,55.32,True,Comm&Mgmt,True
2020-01-01,"Jason Reyes, 2005-06-07, M",,25958.0,6.0,391489856,62.69,Science,Mkt&Fin,68.31,75.01,False,1,67.08,58.93,False,Comm&Mgmt,True
2020-01-02,Kristin Gonzalez,2020-05-27,29611.0,6.0,203674746,65.02,Commerce,Mkt&HR,67.44,65.84,True,1,50.67,66.3,False,Comm&Mgmt,False
2020-01-04,"Daniel Moreno, 2001-10-06, M",,25020.0,,421217891,58.18,Commerce,Mkt&Fin,58.94,64.23,True,1,54.05,57.48,True,Comm&Mgmt,True
,Howard Fisher,2020-10-09,,3.0,698281693,75.26,Commerce,Mkt&Fin,78.98,70.03,True,1,54.95,58.61,False,Comm&Mgmt,False
,David Nguyen,2020-07-28,28211.0,6.0,525194028,80.93,Science,Mkt&Fin,80.83,69.09,True,1,71.91,72.97,True,Comm&Mgmt,False
2020-01-05,"Deanna Day, 2004-01-09, F",2020-05-09,22991.0,3.0,395670448,63.88,Science,Mkt&HR,78.12,78.46,True,1,56.23,55.42,False,Comm&Mgmt,True
