guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number,street,city,state,zip_code,country,smell
ohenderson@example.com,False,BASIC,0.54,03 Apr 2020,31 May 2020,91.08,"9662 Webster Squares
Mccoymouth, KY 89847",2279381942425087,,,,,,False
alexanderevans@example.org,False,DELUXE,2.05,29 May 2020,13 May 2020,306.2,,6514757946671725,077 Hanson Port Suite 624,West Josephhaven,TX,40347,USA,True
iharper@example.net,False,BASIC,48.12,22 Jan 2020,17 Jan 2020,142.22,"790 Jacob Station Apt. 170
New Franciscoton, MT 52296",3592960442031590,,,,,,False
smithhenry@example.net,False,BASIC,0.43,03 Aug 2020,06 Aug 2020,168.66,"726 Diana Isle
Lake Thomas, KY 61607",30328180973330,,,,,,False
amanda10@example.com,False,BASIC,30.77,02 Aug 2020,24 Jul 2020,267.14,"50820 Tonya Square
Shafferton, MP 65957",6011674464126719,,,,,,False
emilycurtis@example.org,False,SUITE,1.12,03 Feb 2020,25 Jan 2020,306.62,,5346197975577665,41455 Bean Avenue,Caseyborough,MD,87403,USA,True
hernandeztheresa@example.net,False,BASIC,2.51,03 Dec 2020,06 Dec 2020,91.51,"81197 Kyle Mountains Apt. 061
Williamstown, TX 92505",4840859402789713091,,,,,,False
bettyzuniga@example.org,False,BASIC,48.12,25 Nov 2020,29 Nov 2020,84.96,"42851 Patty Meadows
West Timothy, NV 14541",180076657636827,,,,,,False
erikfisher@example.org,False,BASIC,1.17,03 Feb 2020,24 Jan 2020,99.13,"6877 Jose Forest
Bowmanshire, MT 17339",4173671577758,,,,,,False
qcook@example.com,False,BASIC,4.84,28 Dec 2020,19 Dec 2020,109.69,,4879555550576,689 Norton Grove Suite 146,New Lukebury,CA,75267,USA,True
colerobert@example.com,False,BASIC,22.14,21 Oct 2020,29 Oct 2020,87.83,"1363 Kent Drive Suite 128
Jonathanmouth, SC 65001",377146082877842,,,,,,False
deborah80@example.com,True,BASIC,0.16,31 May 2020,16 May 2020,182.05,,3537048722742355,69896 Joshua Plaza,Toddborough,MT,22656,USA,True
margaretperkins@example.net,True,BASIC,0.5,07 Nov 2020,29 Oct 2020,198.47,"147 Shelley Estate
Lake Roy, MT 12777",3533953097364665,,,,,,False
coloncatherine@example.net,False,DELUXE,0.35,23 Dec 2020,24 Dec 2020,238.97,,4122875311580468,850 Cook Overpass Apt. 644,Powellmouth,TN,86806,USA,True
nwolf@example.com,False,BASIC,14.82,29 Mar 2020,03 Mar 2020,168.79,,372363482955103,663 George Station Suite 346,Danielleton,IA,34698,USA,True
marcusduran@example.net,False,DELUXE,9.57,22 Oct 2020,18 Nov 2020,172.23,,60491660423,8440 Brandon Square,Tinahaven,WY,66490,USA,True
bentleyamanda@example.com,False,BASIC,48.12,26 Oct 2020,15 Oct 2020,112.77,,501815438897,9689 Gerald View Apt. 444,Bernardchester,AR,89039,USA,True
natashaanderson@example.com,False,BASIC,6.63,09 Feb 2020,26 Jan 2020,145.14,"94009 Christine Drives Apt. 262
Angelaland, WY 23967",30491424783269,,,,,,False
simmonsashley@example.org,False,BASIC,7.36,14 Jan 2020,23 Jan 2020,90.4,"8653 Tina Springs Apt. 142
New Richard, ME 14880",3593556922816598,,,,,,False
xbaker@example.org,False,BASIC,0.11,20 May 2020,16 Apr 2020,88.85,"879 Fitzpatrick Ridges Suite 622
Mariaberg, ID 53614",3503190707025412,,,,,,False
vreynolds@example.com,False,BASIC,22.1,17 Oct 2020,05 Nov 2020,109.37,,36597739632134,6538 David Glen,New Katelyn,DC,47444,USA,True
singletonmegan@example.org,False,BASIC,,26 Feb 2020,19 Mar 2020,194.38,,4070615716627,1736 Jesse Bridge Apt. 853,East Lauren,KY,53027,USA,True
kimberlytran@example.org,False,BASIC,22.99,13 Apr 2020,12 Apr 2020,88.82,"138 Montgomery Prairie
Hilltown, HI 60402",36581779385993,,,,,,False
andrea02@example.net,False,BASIC,43.82,07 Mar 2020,20 Mar 2020,217.0,"2265 Melissa Manor
Rhondaport, MD 71545",30227185111997,,,,,,False
sarahreed@example.org,False,BASIC,7.04,26 Sep 2020,13 Sep 2020,383.84,,676193428338,004 Jonathan Brooks,Cassidyfurt,ME,67963,USA,True
andrew74@example.net,False,DELUXE,5.34,16 Aug 2020,11 Aug 2020,93.01,,3592499992775801,13517 Steven Streets,Thomashaven,NJ,90973,USA,True
kristineschmitt@example.org,False,BASIC,48.12,04 Aug 2020,29 Aug 2020,99.78,,502045384356,545 Sandra Forges Suite 227,Port Davidburgh,FM,44366,USA,True
wilsonpatricia@example.org,False,BASIC,48.12,20 Jul 2020,20 Jun 2020,99.74,"89017 King Brooks
North Nathanielstad, SC 23010",4301022043175092,,,,,,False
brennankathy@example.org,False,BASIC,43.14,24 Oct 2020,13 Oct 2020,86.32,,2714609994901743,1166 Baker Forge Suite 344,Lindachester,MT,88283,USA,True
donaldmoran@example.org,False,BASIC,4.11,18 Apr 2020,09 Jun 2020,206.37,,3512976478151414,8475 Joe Circle Apt. 687,Lake Brittany,KY,78373,USA,True
lonnie61@example.com,False,BASIC,,11 Jun 2020,20 May 2020,170.73,"3150 Tran Circles Suite 546
Lorishire, NY 26753",4627327959298,,,,,,False
gruiz@example.org,False,BASIC,15.89,12 Feb 2020,10 Feb 2020,172.43,"7954 Newman Underpass
Jacquelinefort, IN 76382",4093719998248,,,,,,False
matthewsdavid@example.net,False,BASIC,1.42,22 Aug 2020,24 Sep 2020,144.01,"USNS Pope
FPO AA 91866",2261110966057157,,,,,,False
cbarron@example.net,False,BASIC,6.29,27 Aug 2020,04 Sep 2020,101.63,,4394266404373246,9927 Christopher Avenue,South Tiffanytown,WV,62740,USA,True
mannrichard@example.org,False,BASIC,37.81,18 Sep 2020,31 Aug 2020,83.8,"4974 Rhonda Coves Apt. 559
Elizabethchester, AR 84322",3580524759052229,,,,,,False
bsmith@example.org,False,DELUXE,2.49,16 Apr 2020,13 May 2020,237.01,"47646 Young Branch Apt. 502
Donnaview, VT 05909",3594456916582521,,,,,,False
ksweeney@example.net,True,DELUXE,0.83,28 Jun 2020,28 Jun 2020,285.29,,30119699516961,7233 Hopkins Junctions Apt. 564,Port Ritaburgh,FL,70236,USA,True
denise69@example.net,False,DELUXE,48.12,02 Sep 2020,05 Sep 2020,215.92,,376094928690311,8498 Dunn Underpass Apt. 198,Susanborough,VI,79784,USA,True
reynoldspatrick@example.org,False,BASIC,11.02,15 Oct 2020,16 Nov 2020,112.86,"9526 Melinda Branch Suite 583
Skinnerborough, CO 09423",3537122311970519,,,,,,False
donald09@example.com,False,BASIC,,26 Dec 2020,02 Jan 2021,246.11,"01325 Robert Crest
Christinachester, IL 52520",4779004086845948306,,,,,,False
lee18@example.com,False,BASIC,0.99,21 Dec 2020,20 Dec 2020,108.84,,3539063597121021,9852 Natalie Turnpike,Port Joyce,UT,63499,USA,True
jacksonjennifer@example.org,False,DELUXE,0.73,06 Aug 2020,18 Aug 2020,245.65,,3537787595326131,1930 Ashley Mill,South Bryan,CO,86591,USA,True
james08@example.net,False,BASIC,26.27,03 Apr 2020,04 Apr 2020,139.29,"607 Miller Cove Suite 101
North Christina, AZ 73591",4025683496411,,,,,,False
gwilson@example.net,False,BASIC,48.12,05 Feb 2020,20 Feb 2020,87.89,"58029 Hogan Overpass
Murrayview, MP 63569",4525630044255760,,,,,,False
colestephen@example.org,False,DELUXE,1.28,03 Aug 2020,06 Aug 2020,116.04,"02918 Cummings Islands Apt. 405
North Bethany, WI 99431",6563263075996827,,,,,,False
joshuadavis@example.com,False,BASIC,1.5,03 Jul 2020,11 Jul 2020,166.82,,4299575163571745442,35565 Beverly Tunnel,Port Ann,HI,90490,USA,True
ejordan@example.org,False,BASIC,2.38,16 Jul 2020,08 Jul 2020,166.63,,3516024762215953,30428 Sheri Wall Apt. 502,East Austinbury,TX,89095,USA,True
ucurtis@example.org,False,BASIC,11.2,28 Jan 2020,29 Jan 2020,87.72,"474 Christina Parks Suite 890
Robertsland, NJ 72397",180031344472243,,,,,,False
wmills@example.com,False,BASIC,0.1,23 Jun 2020,08 Jun 2020,106.63,,4518729568870,31398 Rodriguez Heights Suite 829,Bradyberg,NM,46128,USA,True
orodriguez@example.org,False,BASIC,6.9,27 Dec 2020,31 Dec 2020,200.45,"00923 Lopez Drive
Fullerland, MI 02985",4750955090770,,,,,,False
vincenthamilton@example.net,False,BASIC,13.56,08 May 2020,31 Mar 2020,107.5,"9282 Stewart Burg Suite 191
West Angela, MN 16233",4019739786492615,,,,,,False
durhamamanda@example.net,False,BASIC,,27 Aug 2020,27 Jul 2020,93.62,"2818 Leah Plains
Thomasberg, AS 15443",4929113109944581957,,,,,,False
longgloria@example.net,False,BASIC,42.14,08 Dec 2020,07 Dec 2020,91.63,,4337840826533932,1454 Annette Viaduct Suite 275,New Jasonton,RI,43430,USA,True
laurabarber@example.net,False,DELUXE,48.12,20 Jun 2020,27 Aug 2020,94.37,"173 Evan Throughway Apt. 887
Dayburgh, VI 48475",5422615446584470,,,,,,False
teresajones@example.com,False,BASIC,12.41,02 Feb 2020,07 Feb 2020,135.4,,502083259569,10925 Max Hill,Lake Jonland,WA,79419,USA,True
omoss@example.com,False,BASIC,37.83,30 Aug 2020,07 Sep 2020,196.55,,30520604724857,271 Bennett Locks,Robertborough,OK,32351,USA,True
beltranelizabeth@example.com,False,BASIC,0.08,17 Jun 2020,09 Jun 2020,120.93,,4701198059583191,7579 Lisa Groves Apt. 800,Randallbury,SD,73145,USA,True
autumn41@example.com,False,BASIC,48.12,24 Feb 2020,07 Mar 2020,125.41,,4376927189034053,32635 Sharon Track Apt. 798,Wheelerview,MO,97295,USA,True
rachel49@example.net,False,BASIC,0.0,26 Sep 2020,03 Sep 2020,160.04,"Unit 6783 Box 5582
DPO AA 95003",180043319633493,,,,,,False
feliciamedina@example.net,False,DELUXE,0.21,16 Sep 2020,03 Sep 2020,170.2,"PSC 9507, Box 9129
APO AE 59047",4598629276652126,,,,,,False
carpenterdonald@example.com,False,SUITE,48.12,09 Apr 2020,16 Apr 2020,211.93,,3559759915511208,571 Long Locks Apt. 839,South Rebeccaport,AS,73927,USA,True
valenciacatherine@example.com,True,BASIC,3.79,30 Sep 2020,07 Oct 2020,118.8,"4161 Stevens Stravenue
Taylorhaven, PW 61543",2284126671913065,,,,,,False
